structural_feature,transcriptomic_feature,base_r2,interaction_r2,r2_improvement,f_statistic,p_value,p_adjusted,significant_fdr
num_heavy_atoms,BCAR1 (9564),0.9823327507733915,0.9832435220234754,0.0009107712500838749,1256.6501941183153,1.1102230246251565e-16,1.1937881985216736e-16,True
num_heavy_atoms,RAPH1 (65059),0.9823327507733915,0.9840719327964965,0.0017391820231049682,2524.467523927991,1.1102230246251565e-16,1.1937881985216736e-16,True
num_heavy_atoms,TJP1 (7082),0.9823327507733915,0.9827162412468267,0.0003834904734351108,512.9844654995621,1.1102230246251565e-16,1.1937881985216736e-16,True
num_heavy_atoms,PTPN7 (5778),0.9823327507733915,0.98317770653884,0.0008449557654484074,1161.2790694842583,1.1102230246251565e-16,1.1937881985216736e-16,True
num_heavy_atoms,ARHGAP29 (9411),0.9823327507733915,0.9844465554952272,0.0021138047218356437,3142.144182521193,1.1102230246251565e-16,1.1937881985216736e-16,True
num_heavy_atoms,WFS1 (7466),0.9823327507733915,0.9846929232176429,0.0023601724442513516,3564.8339449100845,1.1102230246251565e-16,1.1937881985216736e-16,True
num_heavy_atoms,ERRFI1 (54206),0.9823327507733915,0.9841985672148983,0.0018658164415067402,2729.9851041550814,1.1102230246251565e-16,1.1937881985216736e-16,True
num_heavy_atoms,SNX21 (90203),0.9823327507733915,0.9842444553049421,0.0019117045315505399,2805.2732942525267,1.1102230246251565e-16,1.1937881985216736e-16,True
num_heavy_atoms,PHLDB1 (23187),0.9823327507733915,0.9840403392147324,0.0017075884413408904,2473.7019974913446,1.1102230246251565e-16,1.1937881985216736e-16,True
num_heavy_atoms,NCKAP1 (10787),0.9823327507733915,0.9835635492844108,0.0012307985110192599,1731.2777598496768,1.1102230246251565e-16,1.1937881985216736e-16,True
num_heavy_atoms,WAS (7454),0.9823327507733915,0.9836591240037815,0.0013263732303899767,1876.628223218381,1.1102230246251565e-16,1.1937881985216736e-16,True
num_heavy_atoms,IKZF1 (10320),0.9823327507733915,0.9831460189592484,0.000813268185856808,1115.6272462597258,1.1102230246251565e-16,1.1937881985216736e-16,True
num_heavy_atoms,PARVA (55742),0.9823327507733915,0.9832798846473138,0.0009471338739222013,1309.664120323398,1.1102230246251565e-16,1.1937881985216736e-16,True
num_heavy_atoms,CNN3 (1266),0.9823327507733915,0.9835981265626201,0.0012653757892285844,1783.6674791240787,1.1102230246251565e-16,1.1937881985216736e-16,True
num_heavy_atoms,CD151 (977),0.9823327507733915,0.9843990703944073,0.0020663196210157775,3062.2091660973083,1.1102230246251565e-16,1.1937881985216736e-16,True
num_heavy_atoms,FAM114A1 (92689),0.9823327507733915,0.9839612300013487,0.0016284792279571692,2347.4642851998956,1.1102230246251565e-16,1.1937881985216736e-16,True
num_heavy_atoms,PTTG1IP (754),0.9823327507733915,0.9837171022253475,0.001384351451955923,1965.6332682407133,1.1102230246251565e-16,1.1937881985216736e-16,True
