structural_feature,transcriptomic_feature,base_r2,interaction_r2,r2_improvement,f_statistic,p_value,p_adjusted,significant_fdr
num_hbd_pharmacophore,STX2 (2054),0.9620453941232907,0.964759528118127,0.002714133994836332,425.2137665954184,1.1102230246251565e-16,1.1445598192011924e-16,True
num_hbd_pharmacophore,PHC2 (1912),0.9620453941232907,0.9652420637182406,0.003196669594949908,507.7635418469852,1.1102230246251565e-16,1.1445598192011924e-16,True
gatekeeper_LEU790_min_dist,VKORC1 (79001),0.9620453941232907,0.9678501359983764,0.005804741875085728,996.8309629779363,1.1102230246251565e-16,1.1445598192011924e-16,True
num_hbd_pharmacophore,TFE3 (7030),0.9620453941232907,0.9642680995064378,0.002222705383147061,343.434193279629,1.1102230246251565e-16,1.1445598192011924e-16,True
num_hbd_pharmacophore,AGPAT1 (10554),0.9620453941232907,0.9648504165069246,0.0028050223836338928,440.58924860642264,1.1102230246251565e-16,1.1445598192011924e-16,True
num_hbd_pharmacophore,TNS2 (23371),0.9620453941232907,0.9664087463568165,0.004363352233525797,717.152980867803,1.1102230246251565e-16,1.1445598192011924e-16,True
num_hbd_pharmacophore,BACE1 (23621),0.9620453941232907,0.9631097928321393,0.0010643987088485574,159.29824532599255,1.1102230246251565e-16,1.1445598192011924e-16,True
num_hbd_pharmacophore,HABP4 (22927),0.9620453941232907,0.9632735919436457,0.0012281978203549926,184.63227211806515,1.1102230246251565e-16,1.1445598192011924e-16,True
num_hbd_pharmacophore,VKORC1 (79001),0.9620453941232907,0.9636185849072719,0.0015731907839812154,238.73690169067743,1.1102230246251565e-16,1.1445598192011924e-16,True
num_hbd_pharmacophore,MACF1 (23499),0.9620453941232907,0.9639878356424686,0.0019424415191778843,297.7943652847486,1.1102230246251565e-16,1.1445598192011924e-16,True
num_hbd_pharmacophore,CEP170 (9859),0.9620453941232907,0.9626670453299127,0.0006216512066219426,91.93315509285247,1.1102230246251565e-16,1.1445598192011924e-16,True
num_hbd_pharmacophore,C5orf24 (134553),0.9620453941232907,0.9634341036874596,0.0013887095641689218,209.67804093309869,1.1102230246251565e-16,1.1445598192011924e-16,True
num_hbd_pharmacophore,P3H1 (64175),0.9620453941232907,0.9640621187946913,0.0020167246714005715,309.82174066392696,1.1102230246251565e-16,1.1445598192011924e-16,True
num_hbd_pharmacophore,DAPP1 (27071),0.9620453941232907,0.9625759818361714,0.0005305877128807257,78.27526028847666,1.1102230246251565e-16,1.1445598192011924e-16,True
num_hbd_pharmacophore,CALU (813),0.9620453941232907,0.9651419946221853,0.003096600498894597,490.4563863908902,1.1102230246251565e-16,1.1445598192011924e-16,True
num_hbd_pharmacophore,DYNLRB1 (83658),0.9620453941232907,0.9629130129483554,0.0008676188250646977,129.15914486425498,1.1102230246251565e-16,1.1445598192011924e-16,True
num_hbd_pharmacophore,SMPD1 (6609),0.9620453941232907,0.9632635100806685,0.0012181159573777522,183.06643382234358,1.1102230246251565e-16,1.1445598192011924e-16,True
num_hbd_pharmacophore,TLCD5 (219902),0.9620453941232907,0.9635684367517066,0.0015230426284158494,230.80860665175,1.1102230246251565e-16,1.1445598192011924e-16,True
num_hbd_pharmacophore,ETV1 (2115),0.9620453941232907,0.9633660501494599,0.0013206560261691536,199.03237161777122,1.1102230246251565e-16,1.1445598192011924e-16,True
num_hbd_pharmacophore,POMGNT1 (55624),0.9620453941232907,0.9641135767541692,0.00206818263087849,318.18262374216334,1.1102230246251565e-16,1.1445598192011924e-16,True
pharmacophore_triangular_area,STX2 (2054),0.9620453941232907,0.9653606523433711,0.003315258220080386,528.4031562748177,1.1102230246251565e-16,1.1445598192011924e-16,True
pharmacophore_triangular_area,PHC2 (1912),0.9620453941232907,0.9649044527013779,0.0028590585780872146,449.7682362753468,1.1102230246251565e-16,1.1445598192011924e-16,True
pharmacophore_triangular_area,CD99L2 (83692),0.9620453941232907,0.9637829713501729,0.0017375772268821699,264.8799260251266,1.1102230246251565e-16,1.1445598192011924e-16,True
pharmacophore_triangular_area,TFE3 (7030),0.9620453941232907,0.9654435422254563,0.0033981481021655435,542.9137382789423,1.1102230246251565e-16,1.1445598192011924e-16,True
pharmacophore_triangular_area,AGPAT1 (10554),0.9620453941232907,0.9637084990355859,0.0016631049122951547,253.00695691216927,1.1102230246251565e-16,1.1445598192011924e-16,True
pharmacophore_triangular_area,TNS2 (23371),0.9620453941232907,0.9646711201611158,0.0026257260378250713,410.33379832430717,1.1102230246251565e-16,1.1445598192011924e-16,True
pharmacophore_triangular_area,BACE1 (23621),0.9620453941232907,0.9649314655069305,0.002886071383639832,454.3674362047922,1.1102230246251565e-16,1.1445598192011924e-16,True
pharmacophore_triangular_area,HABP4 (22927),0.9620453941232907,0.9653800924418827,0.003334698318592011,531.8000744525266,1.1102230246251565e-16,1.1445598192011924e-16,True
pharmacophore_triangular_area,VKORC1 (79001),0.9620453941232907,0.9657489889037857,0.0037035947804949787,596.9910413936052,1.1102230246251565e-16,1.1445598192011924e-16,True
pharmacophore_triangular_area,MACF1 (23499),0.9620453941232907,0.9643089994783303,0.002263605355039555,350.1545202574466,1.1102230246251565e-16,1.1445598192011924e-16,True
pharmacophore_triangular_area,CEP170 (9859),0.9620453941232907,0.9645231383295274,0.0024777442062366983,385.59289403036615,1.1102230246251565e-16,1.1445598192011924e-16,True
pharmacophore_triangular_area,C5orf24 (134553),0.9620453941232907,0.9626973068597979,0.0006519127365072208,96.48660499466754,1.1102230246251565e-16,1.1445598192011924e-16,True
pharmacophore_triangular_area,P3H1 (64175),0.9620453941232907,0.9648023311854816,0.002756937062190934,432.444819018165,1.1102230246251565e-16,1.1445598192011924e-16,True
