GDSC_CELL_LINE,DepMap_ModelID,DepMap_CellLineName,DepMap_StrippedName,COSMIC_ID,Match_Method,Confidence,Fuzzy_Score
ME-1,ACH-000439,ME-1,ME1,1330942,COSMIC_ID,HIGH,
MOLM-13,ACH-000362,MOLM-13,MOLM13,1330947,COSMIC_ID,HIGH,
MOLM-16,ACH-000369,MOLM-16,MOLM16,1330948,COSMIC_ID,HIGH,
MOLP-8,ACH-000745,MOLP-8,MOLP8,1330950,COSMIC_ID,HIGH,
MY-M12,ACH-002276,MY-M12,MYM12,1330960,COSMIC_ID,HIGH,
NCI-H1341,ACH-000129,NCI-H1341,NCIH1341,1330964,COSMIC_ID,HIGH,
NCI-H1876,ACH-000586,NCI-H1876,NCIH1876,1330972,COSMIC_ID,HIGH,
NCI-H2066,ACH-000727,NCI-H2066,NCIH2066,1330973,COSMIC_ID,HIGH,
NCI-H660,ACH-000177,NCI-H660,NCIH660,1330975,COSMIC_ID,HIGH,
NK-92MI,ACH-002289,NK-92MI,NK92MI,1330981,COSMIC_ID,HIGH,
NU-DUL-1,ACH-000287,NU-DUL-1,NUDUL1,1330982,COSMIC_ID,HIGH,
OCI-AML5,ACH-000065,OCI-AML5,OCIAML5,1330983,COSMIC_ID,HIGH,
OCI-LY-19,ACH-000124,OCI-LY-19,OCILY19,1330984,COSMIC_ID,HIGH,
OCI-M1,ACH-000751,OCI-M1,OCIM1,1330985,COSMIC_ID,HIGH,
P32-ISH,ACH-002293,P32-ISH,P32ISH,1330987,COSMIC_ID,HIGH,
PL-21,ACH-000218,PL-21,PL21,1330991,COSMIC_ID,HIGH,
PWR-1E,ACH-001383,PWR-1E,PWR1E,1330993,COSMIC_ID,HIGH,
RCH-ACV,ACH-000922,RCH-ACV,RCHACV,1330994,COSMIC_ID,HIGH,
RC-K8,ACH-001638,RC-K8,RCK8,1330995,COSMIC_ID,HIGH,
ROS-50,ACH-001639,ROS-50,ROS50,1331025,COSMIC_ID,HIGH,
SU-DHL-10,ACH-000271,SU-DHL-10,SUDHL10,1331033,COSMIC_ID,HIGH,
SU-DHL-16,ACH-002307,SU-DHL-16,SUDHL16,1331034,COSMIC_ID,HIGH,
SU-DHL-4,ACH-000365,SU-DHL-4,SUDHL4,1331035,COSMIC_ID,HIGH,
KOPN-8,ACH-001106,KOPN-8,KOPN8,1330933,COSMIC_ID,HIGH,
KCL-22,ACH-000983,KCL-22,KCL22,1330931,COSMIC_ID,HIGH,
KARPAS-620,ACH-000193,KARPAS-620,KARPAS620,1327775,COSMIC_ID,HIGH,
KARPAS-231,ACH-002255,KARPAS-231,KARPAS231,1327774,COSMIC_ID,HIGH,
STS-0421,ACH-002306,STS-0421,STS0421,1299061,COSMIC_ID,HIGH,
SW1271,ACH-000890,SW 1271,SW1271,1299062,COSMIC_ID,HIGH,
T-T,ACH-000561,T.T,TDOTT,1299064,COSMIC_ID,HIGH,
TMK-1,ACH-002202,TMK-1,TMK1,1299069,COSMIC_ID,HIGH,
TOV-112D,ACH-000048,TOV-112D,TOV112D,1299070,COSMIC_ID,HIGH,
VCaP,ACH-000115,VCaP,VCAP,1299075,COSMIC_ID,HIGH,
WM1552C,ACH-002205,WM1552C,WM1552C,1299078,COSMIC_ID,HIGH,
WM35,ACH-002207,WM35,WM35,1299080,COSMIC_ID,HIGH,
WM793B,ACH-000827,WM793,WM793,1299081,COSMIC_ID,HIGH,
GA-10,ACH-000162,GA-10,GA10,1303896,COSMIC_ID,HIGH,
GRANTA-519,ACH-000073,GRANTA-519,GRANTA519,1303897,COSMIC_ID,HIGH,
HCC1500,ACH-000349,HCC1500,HCC1500,1303900,COSMIC_ID,HIGH,
SU-DHL-5,ACH-000660,SU-DHL-5,SUDHL5,1331036,COSMIC_ID,HIGH,
HCC-33,ACH-000515,HCC-33,HCC33,1303901,COSMIC_ID,HIGH,
CHSA8926,ACH-002094,CHSA8926,CHSA8926,1303912,COSMIC_ID,HIGH,
COR-L32,ACH-001489,COR-L32,CORL32,1322212,COSMIC_ID,HIGH,
COR-L321,ACH-001490,COR-L321,CORL321,1322213,COSMIC_ID,HIGH,
